ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_TOA_SW_DWN,CDD0,CDD10,CLRSKY_SFC_SW_DWN,HDD18_3,T2M,Date,site_id
9.53,0.95,5.47,18.19,8.19,-999.0,0.11,18.75,2016-01-01,0
9.07,1.45,5.48,14.33,4.33,-999.0,3.97,13.69,2016-01-02,0
8.73,1.16,5.5,10.6,0.6,-999.0,7.7,10.62,2016-01-03,0
6.93,3.76,5.51,11.17,1.17,3.8,7.13,10.25,2016-01-04,0
7.54,2.01,5.53,9.35,0.0,-999.0,8.95,9.2,2016-01-05,0
8.22,1.64,5.55,10.95,0.95,-999.0,7.35,10.51,2016-01-06,0
8.71,1.57,5.57,13.48,3.48,-999.0,4.82,13.19,2016-01-07,0
8.81,2.46,5.6,17.88,7.88,-999.0,0.42,16.88,2016-01-08,0
8.78,1.36,5.62,17.97,7.97,-999.0,0.33,17.2,2016-01-09,0
7.93,2.38,5.64,13.46,3.46,-999.0,4.84,14.94,2016-01-10,0
6.16,4.05,5.67,7.42,0.0,4.1,10.88,6.86,2016-01-11,0
6.1,3.98,5.7,7.88,0.0,4.02,10.42,6.95,2016-01-12,0
6.83,2.87,5.73,9.35,0.0,-999.0,8.95,8.32,2016-01-13,0
7.03,2.39,5.76,10.69,0.69,-999.0,7.61,10.25,2016-01-14,0
8.3,1.75,5.79,16.49,6.49,-999.0,1.81,16.16,2016-01-15,0
8.02,2.39,5.82,16.02,6.02,3.92,2.28,15.8,2016-01-16,0
7.64,3.57,5.85,11.06,1.06,3.94,7.24,12.83,2016-01-17,0
6.18,4.07,5.88,8.11,0.0,4.1,10.19,7.52,2016-01-18,0
5.64,4.26,5.92,4.9,0.0,4.28,13.4,4.43,2016-01-19,0
6.19,4.17,5.95,7.64,0.0,4.19,10.66,7.41,2016-01-20,0
7.53,3.62,5.99,11.59,1.59,-999.0,6.71,11.11,2016-01-21,0
8.29,1.65,6.03,14.54,4.54,-999.0,3.76,14.03,2016-01-22,0
7.36,0.81,6.06,4.95,0.0,-999.0,13.35,4.06,2016-01-23,0
5.9,4.35,6.1,4.72,0.0,4.37,13.58,4.74,2016-01-24,0
6.57,4.25,6.14,10.06,0.06,4.31,8.24,9.16,2016-01-25,0
7.85,3.04,-999.0,14.44,4.44,-999.0,3.86,13.63,2016-01-26,0
8.77,2.36,6.22,17.3,7.3,-999.0,1.0,16.11,2016-01-27,0
8.54,0.77,6.26,14.32,4.32,-999.0,3.98,14.13,2016-01-28,0
6.49,4.49,6.31,11.66,1.66,4.52,6.64,11.23,2016-01-29,0
6.95,3.78,6.35,12.26,2.26,-999.0,6.04,12.39,2016-01-30,0
